Date,Close,Days
1997-01-08,946.7,0
1997-01-09,956.6,1
1997-01-10,980.35,1
1997-01-13,980.7,3
1997-01-14,989.3,1
1997-01-15,1041.8,1
1997-03-01,1102.95,45
1997-03-03,1107.7,2
1997-03-04,1117.3,1
1997-03-05,1132.9,1
1997-06-13,1136.3,100
1997-06-17,1138.8,4
1997-06-18,1159.8,1
1997-06-25,1161.9,7
1997-06-26,1168.2,1
1997-06-27,1169.65,1
1997-06-30,1192.4,3
1997-07-01,1200.45,1
1997-07-02,1222.95,1
1997-07-09,1236.55,7
1997-07-10,1239.15,1
1997-08-04,1250.4,25
1997-08-05,1273.15,1
1997-08-06,1292.95,1
1999-07-12,1315.35,705
1999-07-13,1321.45,1
1999-07-14,1335.15,1
1999-07-19,1349.6,5
1999-08-18,1363.35,30
1999-08-23,1369.7,5
1999-08-24,1382.65,1
1999-08-26,1402.5,2
1999-08-27,1417.5,1
1999-08-30,1422.6,3
1999-10-07,1469.75,38
1999-10-08,1479.25,1
1999-10-11,1484.0,3
1999-10-13,1496.3,2
1999-10-14,1505.2,1
2000-01-03,1592.2,81
2000-01-04,1638.7,1
2000-02-08,1662.75,35
2000-02-09,1689.65,1
2000-02-10,1711.2,1
2000-02-11,1756.0,1
2003-12-18,1756.1,1406
2003-12-19,1778.55,1
2003-12-22,1789.15,3
2003-12-24,1808.7,2
2003-12-26,1837.05,2
2003-12-29,1874.05,3
2003-12-31,1879.75,2
2004-01-01,1912.25,1
2004-01-02,1946.05,1
2004-01-05,1955.0,3
2004-01-08,1968.55,3
2004-01-09,1971.9,1
2004-01-14,1982.15,5
2004-12-02,1999.0,323
2004-12-14,2006.8,12
2004-12-15,2028.7,1
2004-12-16,2033.2,1
2004-12-21,2044.65,5
2004-12-23,2045.15,2
2004-12-24,2062.7,1
2004-12-28,2071.35,4
2004-12-31,2080.5,3
2005-01-03,2115.0,3
2005-03-03,2128.85,59
2005-03-04,2148.15,1
2005-03-07,2160.1,3
2005-03-08,2168.95,1
2005-06-21,2170.0,105
2005-06-22,2187.35,1
2005-06-24,2194.35,2
2005-06-27,2199.8,3
2005-06-30,2220.6,3
2005-07-04,2230.65,4
2005-07-18,2234.0,14
2005-07-19,2237.3,1
2005-07-20,2241.9,1
2005-07-22,2265.6,2
2005-07-25,2291.75,3
2005-07-26,2303.15,1
2005-07-27,2319.1,1
2005-08-02,2353.65,6
2005-08-03,2357.0,1
2005-08-04,2367.8,1
2005-08-11,2380.9,7
2005-08-17,2403.15,6
2005-09-01,2405.75,15
2005-09-02,2415.8,1
2005-09-05,2422.95,3
2005-09-06,2428.65,1
2005-09-08,2454.45,2
2005-09-09,2455.45,1
2005-09-12,2484.15,3
2005-09-13,2500.35,1
2005-09-15,2523.95,2
2005-09-16,2552.35,1
2005-09-19,2567.1,3
2005-09-20,2578.0,1
2005-09-28,2598.05,8
2005-09-29,2611.2,1
2005-10-03,2630.05,4
2005-10-04,2663.35,1
2005-11-25,2664.3,52
2005-11-26,2683.45,1
2005-11-28,2712.0,2
2005-12-09,2756.45,11
2005-12-12,2776.2,3
2005-12-13,2812.3,1
2005-12-19,2842.6,6
2006-01-03,2883.35,15
2006-01-04,2904.4,1
2006-01-06,2914.0,2
2006-01-25,2940.35,19
2006-01-27,2982.75,2
2006-01-31,3001.1,4
2006-02-07,3020.1,7
2006-02-10,3027.55,3
2006-02-13,3041.15,3
2006-02-22,3050.8,9
2006-02-23,3062.1,1
2006-02-27,3067.45,4
2006-02-28,3074.7,1
2006-03-01,3123.1,1
2006-03-02,3150.7,1
2006-03-06,3190.4,4
2006-03-13,3202.65,7
2006-03-16,3226.6,3
2006-03-17,3234.05,1
2006-03-20,3265.65,3
2006-03-24,3279.8,4
2006-03-27,3321.65,3
2006-03-28,3325.0,1
2006-03-29,3354.2,1
2006-03-30,3418.95,1
2006-04-03,3473.3,4
2006-04-04,3483.15,1
2006-04-05,3510.9,1
2006-04-18,3518.1,13
2006-04-19,3535.85,1
2006-04-20,3573.5,1
2006-05-02,3605.45,12
2006-05-03,3634.25,1
2006-05-04,3648.4,1
2006-05-05,3663.95,1
2006-05-08,3693.15,3
2006-05-09,3720.55,1
2006-05-10,3754.25,1
2006-10-30,3769.1,173
2006-11-02,3791.2,3
2006-11-03,3805.35,1
2006-11-06,3809.25,3
2006-11-10,3834.75,4
2006-11-13,3858.75,3
2006-11-14,3865.9,1
2006-11-15,3876.3,1
2006-11-16,3876.85,1
2006-11-21,3918.25,5
2006-11-22,3954.75,1
2006-11-27,3968.9,5
2006-12-01,3997.6,4
2006-12-04,4001.0,3
2006-12-05,4015.75,1
2006-12-06,4015.95,1
2007-01-03,4024.05,28
2007-01-12,4052.45,9
2007-01-15,4078.4,3
2007-01-16,4080.5,1
2007-01-18,4109.05,2
2007-01-25,4147.7,7
2007-02-02,4183.5,8
2007-02-05,4215.35,3
2007-02-07,4224.25,2
2007-05-21,4260.9,103
2007-05-22,4278.1,1
2007-05-29,4293.25,7
2007-05-31,4295.8,2
2007-06-01,4297.05,1
2007-06-29,4318.3,28
2007-07-03,4357.55,4
2007-07-04,4359.3,1
2007-07-06,4384.85,2
2007-07-09,4419.4,3
2007-07-12,4446.15,3
2007-07-13,4504.55,1
2007-07-16,4512.15,3
2007-07-19,4562.1,3
2007-07-20,4566.05,1
2007-07-23,4619.35,3
2007-07-24,4620.75,1
2007-09-19,4732.35,57
2007-09-20,4747.55,1
2007-09-21,4837.55,1
2007-09-24,4932.2,3
2007-09-25,4938.85,1
2007-09-26,4940.5,1
2007-09-27,5000.55,1
2007-09-28,5021.35,1
2007-10-01,5068.95,3
2007-10-03,5210.8,2
2007-10-09,5327.25,6
2007-10-10,5441.45,1
2007-10-11,5524.85,1
2007-10-15,5670.4,4
2007-10-26,5702.3,11
2007-10-29,5905.9,3
2007-11-02,5932.4,4
2007-11-14,5937.9,12
2007-12-05,5940.0,21
2007-12-06,5954.7,1
2007-12-07,5974.3,1
2007-12-11,6097.25,4
2007-12-12,6159.3,1
2008-01-02,6179.4,21
2008-01-04,6274.3,2
2008-01-07,6279.1,3
2008-01-08,6287.85,1
2010-11-05,6312.45,1032
2013-11-03,6317.35,1094
2013-12-09,6363.9,36
2014-03-06,6401.15,87
2014-03-07,6526.65,1
2014-03-10,6537.25,3
2014-03-24,6583.5,14
2014-03-25,6589.75,1
2014-03-26,6601.4,1
2014-03-27,6641.75,1
2014-03-28,6695.9,1
2014-03-31,6704.2,3
2014-04-01,6721.05,1
2014-04-02,6752.55,1
2014-04-09,6796.2,7
2014-04-10,6796.4,1
2014-04-21,6817.65,11
2014-04-23,6840.8,2
2014-05-09,6858.8,16
2014-05-12,7014.25,3
2014-05-13,7108.75,1
2014-05-15,7123.15,2
2014-05-16,7203.0,1
2014-05-19,7263.55,3
2014-05-20,7275.5,1
2014-05-22,7276.4,2
2014-05-23,7367.1,1
2014-06-03,7415.85,11
2014-06-05,7474.1,2
2014-06-06,7583.4,1
2014-06-09,7654.6,3
2014-06-10,7656.4,1
2014-07-02,7725.15,22
2014-07-04,7751.6,2
2014-07-07,7787.15,3
2014-07-23,7795.75,16
2014-07-24,7830.6,1
2014-08-18,7874.25,25
2014-08-19,7897.5,1
2014-08-22,7913.2,3
2014-08-27,7936.05,5
2014-08-28,7954.35,1
2014-09-01,8027.7,4
2014-09-02,8083.05,1
2014-09-03,8114.6,1
2014-09-08,8173.9,5
2014-10-31,8322.2,53
2014-11-03,8324.15,3
2014-11-05,8338.3,2
2014-11-10,8344.25,5
2014-11-11,8362.65,1
2014-11-12,8383.3,1
2014-11-14,8389.9,2
2014-11-17,8430.75,3
2014-11-21,8477.35,4
2014-11-24,8530.15,3
2014-11-28,8588.25,4
2015-01-20,8695.6,53
2015-01-21,8729.5,1
2015-01-22,8761.4,1
2015-01-23,8835.6,1
2015-01-27,8910.5,4
2015-01-28,8914.3,1
2015-01-29,8952.35,1
2015-03-02,8956.75,32
2015-03-03,8996.25,1
2017-03-14,9087.0,742
2017-03-16,9153.7,2
2017-03-17,9160.05,1
2017-03-30,9173.75,13
2017-04-03,9237.85,4
2017-04-05,9265.15,2
2017-04-25,9306.6,20
2017-04-26,9351.85,1
2017-05-04,9359.9,8
2017-05-10,9407.3,6
2017-05-11,9422.4,1
2017-05-15,9445.4,4
2017-05-16,9512.25,1
2017-05-17,9525.75,1
2017-05-26,9595.1,9
2017-05-29,9604.9,3
2017-05-30,9624.55,1
2017-06-02,9653.5,3
2017-06-05,9675.1,3
2017-07-10,9771.05,35
2017-07-11,9786.05,1
2017-07-12,9816.1,1
2017-07-13,9891.7,1
2017-07-17,9915.95,4
2017-07-24,9966.4,7
2017-07-26,10020.65,2
2017-07-31,10077.1,5
2017-08-01,10114.65,1
2017-09-18,10153.1,48
2017-10-13,10167.45,25
2017-10-16,10230.85,3
2017-10-17,10234.45,1
2017-10-25,10295.35,8
2017-10-26,10343.8,1
2017-10-30,10363.65,4
2017-11-01,10440.5,2
2017-11-03,10452.5,2
2017-12-19,10463.2,46
2017-12-22,10493.0,3
2017-12-26,10531.5,4
2018-01-05,10558.85,10
2018-01-08,10623.6,3
2018-01-09,10637.0,1
2018-01-11,10651.2,2
2018-01-12,10681.25,1
2018-01-15,10741.55,3
2018-01-17,10788.55,2
2018-01-18,10817.0,1
2018-01-19,10894.7,1
2018-01-22,10966.2,3
2018-01-23,11083.7,1
2018-01-24,11086.0,1
2018-01-29,11130.4,5
2018-07-24,11134.3,176
2018-07-26,11167.3,2
2018-07-27,11278.35,1
2018-07-30,11319.55,3
2018-07-31,11356.5,1
2018-08-03,11360.8,3
2018-08-06,11387.1,3
2018-08-07,11389.45,1
2018-08-08,11450.0,1
2018-08-09,11470.7,1
2018-08-17,11470.75,8
2018-08-20,11551.75,3
2018-08-21,11570.9,1
2018-08-23,11582.75,2
2018-08-27,11691.95,4
2018-08-28,11738.5,1
2019-04-16,11787.15,231
2019-05-20,11828.25,34
2019-05-24,11844.1,4
2019-05-27,11924.75,3
2019-05-28,11928.75,1
2019-05-30,11945.9,2
2019-06-03,12088.55,4
2019-11-27,12100.7,177
2019-11-28,12151.15,1
2019-12-17,12165.0,19
2019-12-18,12221.65,1
2019-12-19,12259.7,1
2019-12-20,12271.8,1
2020-01-02,12282.2,13
2020-01-13,12329.55,11
2020-01-14,12362.3,1
2020-11-09,12461.05,300
2020-11-10,12631.1,1
2020-11-11,12749.15,1
2020-11-14,12780.25,3
2020-11-17,12874.2,3
2020-11-18,12938.25,1
2020-11-24,13055.15,6
2020-12-01,13109.05,7
2020-12-02,13113.75,1
2020-12-03,13133.9,1
2020-12-04,13258.55,1
2020-12-07,13355.75,3
2020-12-08,13392.95,1
2020-12-09,13529.1,1
2020-12-14,13558.15,5
2020-12-15,13567.85,1
2020-12-16,13682.7,1
2020-12-17,13740.7,1
2020-12-18,13760.55,1
2020-12-28,13873.2,10
2020-12-29,13932.6,1
2020-12-30,13981.95,1
2021-01-01,14018.5,2
2021-01-04,14132.9,3
2021-01-05,14199.5,1
2021-01-08,14347.25,3
2021-01-11,14484.75,3
2021-01-12,14563.45,1
2021-01-13,14564.85,1
2021-01-14,14595.6,1
2021-01-20,14644.7,6
2021-02-02,14647.85,13
2021-02-03,14789.95,1
2021-02-04,14895.65,1
2021-02-05,14924.25,1
2021-02-08,15115.8,3
2021-02-11,15173.3,3
2021-02-15,15314.7,4
2021-05-27,15337.85,101
2021-05-28,15435.65,1
2021-05-31,15582.8,3
2021-06-03,15690.35,3
2021-06-07,15751.65,4
2021-06-11,15799.35,4
2021-06-14,15811.85,3
2021-06-15,15869.25,1
2021-07-07,15879.65,22
2021-07-15,15924.2,8
2021-08-03,16130.75,19
2021-08-04,16258.8,1
2021-08-05,16294.6,1
2021-08-12,16364.4,7
2021-08-13,16529.1,1
2021-08-16,16563.05,3
2021-08-17,16614.6,1
2021-08-24,16624.6,7
2021-08-25,16634.65,1
2021-08-26,16636.9,1
2021-08-27,16705.2,1
2021-08-30,16931.05,3
2021-08-31,17132.2,1
2021-09-02,17234.15,2
2021-09-03,17323.6,1
2021-09-06,17377.8,3
2021-09-14,17380.0,8
2021-09-15,17519.45,1
2021-09-16,17629.5,1
2021-09-23,17822.95,7
2021-09-24,17853.2,1
2021-09-27,17855.1,3
2021-10-08,17895.2,11
2021-10-11,17945.95,3
2021-10-12,17991.95,1
2021-10-13,18161.75,1
2021-10-14,18338.55,1
2021-10-18,18477.05,4
